"Run Fondo";"nombre_fm";"fecha";"nemotecnico_inst";"nombre_emisor";"codigo_pais_em";"tipo_inst";"fecha_venc";"situacion_inst";"clasif_riesgo";"nombre_grupo_emp";"cant_unidades";"tipo_unidades";"tir";"valor_par";"valor_relevante";"cod_valorizacion";"base_tasa";"tipo_interes";"valorizacion_cierre";"cod_moneda_liq";"cod_pais_trans";"porc_capital_em";"porc_total_act_em";"porc_total_act_fondo"
"8078";INVERSION USA;2023-01-31;BGFAMBA LN;Baillie Gifford Overseas Growt;GB;CFME;;1;NA;NA;152.50;GBP;;;10273.94;3;0;NA;1567;GBP;US;0.000;0.000;0.001
"8078";INVERSION USA;2023-01-31;INAMEIA LN;Ninety One Funds Series Ii - A;GB;CFME;;1;NA;NA;1314000.00;GBP;;;4435.83;3;0;NA;5828681;GBP;US;0.000;1.253;2.944
"8078";INVERSION USA;2023-01-31;IYR US;Ishares U S  Real Estate Etf;US;ETFA;;1;NA;NA;18850.00;PROM;;;74468.29;3;0;NA;1403727;PROM;US;0.000;0.059;0.709
"8078";INVERSION USA;2023-01-31;JPUSGIU LX;Jpmorgan Funds - Us Growth Fun;LU;CFME;;1;NA;NA;38800.00;PROM;;;284803.59;3;0;NA;11050379;PROM;US;0.000;0.982;5.581
"8078";INVERSION USA;2023-01-31;JPUSSIU LX;Jpmorgan Investment Funds - Us;LU;CFME;;1;NA;NA;38047.87;PROM;;;304677.35;3;0;NA;11592324;PROM;US;0.000;0.328;5.855
"8078";INVERSION USA;2023-01-31;JPUVIAU LX;Jpmorgan Funds - Us Value Fund;LU;CFME;;1;NA;NA;69860.00;PROM;;;249696.77;3;0;NA;17443816;PROM;US;0.000;0.539;8.811
"8078";INVERSION USA;2023-01-31;MORAMFZ LX;Morgan St-Us Advantage-Zusd;LU;CFME;;1;NA;NA;84.65;PROM;;;74838.25;3;0;NA;6335;PROM;US;0.000;0.000;0.003
"8078";INVERSION USA;2023-01-31;PIMSISA ID;Pimco Gis Stocksplus Fund;IE;CFME;;1;NA;NA;69026.92;PROM;;;39578.62;3;0;NA;2731990;PROM;US;0.000;0.293;1.380
"8078";INVERSION USA;2023-01-31;SPYG US;Spdr S&P 500 Growth Etf;US;ETFA;;1;NA;NA;504700.00;PROM;;;43037.02;3;0;NA;21720784;PROM;US;0.000;0.227;10.971
"8078";INVERSION USA;2023-01-31;TEMTIAU LX;Franklin Templeton Investment;LU;CFME;;1;NA;NA;108500.00;PROM;;;34149.73;3;0;NA;3705246;PROM;US;0.000;0.067;1.871
"8078";INVERSION USA;2023-01-31;TRPSCEI LX;T Rowe Price Funds Sicav - Us;LU;CFME;;1;NA;NA;3656.02;PROM;;;78248.40;3;0;NA;286078;PROM;US;0.000;0.017;0.144
"8078";INVERSION USA;2023-01-31;VDE US;Vanguard Energy Index Fund;US;ETFA;;1;NA;NA;30100.00;PROM;;;100438.49;3;0;NA;3023199;PROM;US;0.000;0.048;1.527
