"Run Fondo";"nombre_fm";"fecha";"nemotecnico_inst";"rut_emisor";"dig_verif_rut_em";"codigo_pais_em";"tipo_inst";"fecha_venc";"situacion_inst";"clasif_riesgo";"cod_grupo_emp";"cant_unidades";"tipo_unidades";"tir";"valor_par";"valor_relevante";"cod_valorizacion";"base_tasa";"tipo_interes";"valorizacion_cierre";"cod_moneda_liq";"cod_pais_trans";"porc_capital_em";"porc_total_act_em";"porc_total_act_fondo"
"8078";INVERSION USA;2023-01-31;CFIBCHMUBH;"9333";"5";CL;CFI;;1;NA;0;46992919.21;$$;;;1426.07;3;0;NA;67015192;$$;CL;54.610;44.730;33.848
"8113";USA EQUITY;2023-01-31;FNITA-250423;"97023000";"9";CL;DPC;2023-04-25;1;N-1;76;500000000.00;$$;0.94;;;1;30;NL;487177;$$;CL;0.000;0.001;0.205
"8183";BICE NORTEAMERICA;2023-01-31;BNPDBC010223;"97029000";"1";CL;PDBC;2023-02-01;1;NA;0;95000000.00;$$;0.91;;;1;30;NL;94971;$$;CL;0.000;0.001;0.180
"8300";U.S. DOLLAR;2023-01-31;CFIBCHMUBH;"9333";"5";CL;CFI;;1;NA;0;2925988.89;$$;;;1.77;3;0;NA;5179;$$;CL;3.400;2.785;9.514
"8437";ESTADOS UNIDOS;2023-01-31;CFMLVMONEL;"8606";"1";CL;CFM;;1;AA;0;435238.10;PROM;;;1.05;3;0;NA;457;PROM;CL;0.171;0.000;0.297
"8458";EUROAMERICA USA;2023-01-31;CFMZCHAGRW;"9576";"1";CL;CFM;;1;NA;0;1.00;CU;;;929.62;3;0;NC;1;$$;CL;0.000;10.000;0.000
"8458";EUROAMERICA USA;2023-01-31;CFMZCHMODW;"9577";K;CL;CFM;;1;NA;0;1.00;CU;;;993.56;3;0;NC;1;$$;CL;0.000;10.000;0.000
"8458";EUROAMERICA USA;2023-01-31;CFMZCHPRAW;"8694";"0";CL;CFM;;1;NA;0;1.00;CU;;;874.35;3;0;NC;1;$$;CL;0.000;10.000;0.000
"8458";EUROAMERICA USA;2023-01-31;CFMZCHPRCW;"8695";"9";CL;CFM;;1;NA;0;1.00;CU;;;996.88;3;0;NC;1;$$;CL;0.000;10.000;0.000
"8458";EUROAMERICA USA;2023-01-31;CFMZCHPREW;"8696";"7";CL;CFM;;1;NA;0;1.00;CU;;;1140.21;3;0;NC;1;$$;CL;0.000;10.000;0.000
