"fecha";"Run Fondo";"serie";"1M";"3M";"6M";"1Y";"ytd"
2023-01-31;"8078";B;-0.68%;"12.65%";"14.15%";"2.52%";-0.69%
2023-02-01;"8078";B;"0.21%";"13.66%";"15.17%";"5.35%";"0.21%"
2023-02-02;"8078";B;"0.06%";"13.49%";"14.68%";"8.13%";"0.06%"
2023-02-03;"8078";B;-0.94%;"11.38%";"19.01%";"6.23%";-0.94%
2023-02-04;"8078";B;"0.81%";"9.81%";"18.62%";"8.06%";-0.94%
2023-02-05;"8078";B;-0.57%;"9.81%";"21.09%";"8.05%";-0.94%
2023-02-06;"8078";B;-0.18%;"9.81%";"21.09%";"8.05%";-0.94%
2023-02-07;"8078";B;-0.33%;"9.65%";"20.91%";"7.89%";-1.09%
2023-02-08;"8078";B;"1.83%";"10.60%";"23.52%";"10.04%";"1.05%"
2023-02-09;"8078";B;"2.59%";"7.32%";"21.61%";"13.48%";"1.81%"
2023-02-10;"8078";B;"2.04%";"13.51%";"22.23%";"6.94%";"1.38%"
2023-02-11;"8078";B;"2.35%";"15.56%";"21.46%";"3.68%";"1.38%"
2023-02-12;"8078";B;"2.63%";"15.56%";"24.36%";"3.67%";"1.38%"
2023-02-13;"8078";B;"3.87%";"15.56%";"24.36%";"3.67%";"1.38%"
2023-02-14;"8078";B;"4.31%";"16.04%";"24.88%";"4.11%";"1.81%"
2023-02-15;"8078";B;"3.33%";"14.18%";"23.70%";"3.58%";"0.85%"
2023-02-16;"8078";B;"4.80%";"15.82%";"25.47%";"4.38%";"2.29%"
2023-02-17;"8078";B;"6.79%";"23.04%";"30.24%";"2.71%";"4.23%"
2023-02-18;"8078";B;"2.65%";"26.54%";"36.93%";-0.74%;"4.23%"
2023-02-19;"8078";B;"4.35%";"26.54%";"42.07%";-0.74%;"4.23%"
2023-02-20;"8078";B;"4.87%";"26.54%";"42.07%";-0.74%;"4.23%"
2023-02-21;"8078";B;"6.27%";"28.22%";"43.97%";"0.58%";"5.62%"
2023-02-22;"8078";B;"6.96%";"28.29%";"44.90%";-1.55%;"6.30%"
2023-02-23;"8078";B;"5.05%";"25.42%";"35.68%";-8.20%;"4.41%"
2023-02-24;"8078";B;"1.23%";"20.11%";"30.23%";-5.19%;"2.56%"
2023-02-25;"8078";B;"0.28%";"21.09%";"31.92%";-1.13%;"2.56%"
2023-02-26;"8078";B;"2.26%";"21.09%";"23.58%";-1.13%;"2.56%"
2023-02-27;"8078";B;"3.38%";"21.09%";"23.57%";-1.13%;"2.56%"
2023-02-28;"8078";B;"4.44%";"22.33%";"24.85%";-0.11%;"3.62%"
2023-03-01;"8078";B;"7.89%";"25.89%";"27.55%";"3.72%";"8.12%"
2023-03-02;"8078";B;"7.81%";"23.63%";"22.50%";"6.99%";"7.88%"
2023-03-03;"8078";B;"7.87%";"22.45%";"21.33%";"3.42%";"6.85%"
2023-03-04;"8078";B;"7.87%";"22.45%";"21.33%";"3.73%";"6.85%"
2023-03-05;"8078";B;"7.87%";"22.45%";"21.33%";"3.73%";"6.85%"
2023-03-06;"8078";B;"7.87%";"18.17%";"26.21%";"3.73%";"6.85%"
2023-03-07;"8078";B;"11.72%";"19.41%";"33.00%";"7.27%";"10.50%"
2023-03-08;"8078";B;"8.99%";"19.01%";"33.79%";"4.93%";"10.13%"
2023-03-09;"8078";B;"11.09%";"22.21%";"43.13%";"9.27%";"13.09%"
2023-03-10;"8078";B;"17.00%";"28.19%";"50.12%";"15.98%";"18.62%"
2023-03-11;"8078";B;"17.00%";"28.18%";"50.12%";"12.98%";"18.61%"
2023-03-12;"8078";B;"17.00%";"28.18%";"50.12%";"12.97%";"18.61%"
2023-03-13;"8078";B;"17.00%";"31.50%";"43.45%";"12.97%";"18.61%"
2023-03-14;"8078";B;"14.07%";"28.61%";"41.15%";"10.61%";"16.13%"
2023-03-15;"8078";B;"11.99%";"22.34%";"36.91%";"12.07%";"12.94%"
2023-03-16;"8078";B;"5.36%";"16.45%";"30.64%";"8.13%";"7.77%"
2023-03-17;"8078";B;"3.00%";"16.00%";"30.13%";"10.05%";"7.36%"
2023-03-18;"8078";B;"3.00%";"16.00%";"30.13%";"14.05%";"7.35%"
