"Run Fondo";"nombre_fm";"tipo_serie";"caracteristica";"fecha_inicio";"fecha_termino";"cuota_inicial";"continuadora_serie"
"8078";;UNICA;;1995-06-22;2004-08-17;1000.0;
"8078";;S;;2011-12-15;2015-01-08;1000.0;
"8078";;A;;2004-08-18;2020-02-11;1000.0;UNICA
"8078";;C;;2004-09-22;2020-02-11;3000.0;
"8078";;E;;2013-09-16;2020-02-11;1000.0;
"8078";;B;APV;2004-08-18;;2000.0;
"8078";;BCH;;2017-09-28;;1000.0;
"8078";;BPLUS;APV;2019-02-13;;2000.0;
"8078";;L;;2020-02-12;;879.3737;A
"8078";;M;;2020-02-12;;8026.7877;C
"8078";;UNICA;;1995-06-22;2004-08-17;1000.0;
"8078";;S;;2011-12-15;2015-01-08;1000.0;
"8078";;A;;2004-08-18;2020-02-11;1000.0;UNICA
"8078";;C;;2004-09-22;2020-02-11;3000.0;
"8078";;E;;2013-09-16;2020-02-11;1000.0;
"8078";;B;APV;2004-08-18;;2000.0;
"8078";;BCH;;2017-09-28;;1000.0;
"8078";;BPLUS;APV;2019-02-13;;2000.0;
"8078";;L;;2020-02-12;;879.3737;A
"8078";;M;;2020-02-12;;8026.7877;C
"8078";;UNICA;;1995-06-22;2004-08-17;1000.0;
"8078";;S;;2011-12-15;2015-01-08;1000.0;
"8078";;A;;2004-08-18;2020-02-11;1000.0;UNICA
"8078";;C;;2004-09-22;2020-02-11;3000.0;
"8078";;E;;2013-09-16;2020-02-11;1000.0;
"8078";;B;APV;2004-08-18;;2000.0;
"8078";;BCH;;2017-09-28;;1000.0;
"8078";;BPLUS;APV;2019-02-13;;2000.0;
"8078";;L;;2020-02-12;;879.3737;A
"8078";;M;;2020-02-12;;8026.7877;C
"8078";;UNICA;;1995-06-22;2004-08-17;1000.0;
"8078";;S;;2011-12-15;2015-01-08;1000.0;
"8078";;A;;2004-08-18;2020-02-11;1000.0;UNICA
"8078";;C;;2004-09-22;2020-02-11;3000.0;
"8078";;E;;2013-09-16;2020-02-11;1000.0;
"8078";;B;APV;2004-08-18;;2000.0;
"8078";;BCH;;2017-09-28;;1000.0;
"8078";;BPLUS;APV;2019-02-13;;2000.0;
"8078";;L;;2020-02-12;;879.3737;A
"8078";;M;;2020-02-12;;8026.7877;C
"8300";;UNICA;;2004-05-17;2011-12-14;100.0;
